material,ancho_m,largo_m,completa,tipo_corte,x_plano,y_plano
Royal Walnut,0.2,1.0784,no,corte_largo,504.452,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,504.251,-84.325
Royal Walnut,0.2,1.2,si,completa,504.251,-83.169
Royal Walnut,0.2,1.2,si,completa,504.05,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,504.05,-84.626
Royal Walnut,0.2,1.0784,no,corte_largo,504.05,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,503.849,-84.325
Royal Walnut,0.2,1.2,si,completa,503.849,-83.169
Royal Walnut,0.2,1.2,si,completa,503.648,-83.77
Royal Walnut,0.2,0.5995,no,corte_largo,503.648,-84.671
Royal Walnut,0.2,1.0784,no,corte_largo,503.648,-82.63
Royal Walnut,0.2,1.2,si,completa,503.447,-84.37
Royal Walnut,0.2,1.2,si,completa,503.447,-83.169
Royal Walnut,0.2,1.2,si,completa,503.246,-83.77
Royal Walnut,0.2,0.5995,no,corte_largo,503.246,-84.671
Royal Walnut,0.2,1.0784,no,corte_largo,503.246,-82.63
Royal Walnut,0.2,1.2,si,completa,503.045,-84.37
Royal Walnut,0.2,1.2,si,completa,503.045,-83.169
Royal Walnut,0.2,1.2,si,completa,502.844,-83.77
Royal Walnut,0.2,0.5995,no,corte_largo,502.844,-84.671
Royal Walnut,0.2,1.0784,no,corte_largo,502.844,-82.63
Royal Walnut,0.2,0.5065,no,corte_largo,507.641,-93.077
Royal Walnut,0.2,0.5065,no,corte_largo,507.239,-93.077
Royal Walnut,0.2,0.5065,no,corte_largo,506.837,-93.077
Royal Walnut,0.2,0.5065,no,corte_largo,506.435,-93.077
Royal Walnut,0.2,0.5065,no,corte_largo,506.033,-93.077
Royal Walnut,0.2,0.5065,no,corte_largo,505.631,-93.077
Royal Walnut,0.2,0.5065,no,corte_largo,505.229,-93.077
Royal Walnut,0.2,0.5065,no,corte_largo,504.827,-93.077
Royal Walnut,0.2,0.5065,no,corte_largo,504.425,-93.077
Moret,0.072,1.107,no,corte_esquina,507.778,-92.777
Royal Walnut,0.2,1.2,si,completa,507.641,-92.223
Royal Walnut,0.2,1.107,no,corte_largo,507.44,-92.777
Royal Walnut,0.2,1.2,si,completa,507.239,-92.223
Royal Walnut,0.2,1.107,no,corte_largo,507.038,-92.777
Royal Walnut,0.2,1.2,si,completa,506.837,-92.223
Royal Walnut,0.2,1.107,no,corte_largo,506.636,-92.777
Royal Walnut,0.2,1.2,si,completa,506.435,-92.223
Royal Walnut,0.2,1.107,no,corte_largo,506.234,-92.777
Royal Walnut,0.2,1.2,si,completa,506.033,-92.223
Royal Walnut,0.2,1.107,no,corte_largo,505.832,-92.777
Royal Walnut,0.2,1.2,si,completa,505.631,-92.223
Royal Walnut,0.2,1.107,no,corte_largo,505.43,-92.777
Royal Walnut,0.2,1.2,si,completa,505.229,-92.223
Royal Walnut,0.2,1.107,no,corte_largo,505.028,-92.777
Royal Walnut,0.2,1.2,si,completa,504.827,-92.223
Royal Walnut,0.2,1.107,no,corte_largo,504.626,-92.777
Royal Walnut,0.2,1.2,si,completa,504.425,-92.223
Royal Walnut,0.2,1.107,no,corte_largo,504.224,-92.777
